SMED	Sharps Compliance	Health Care Providers & Services	169.57M
SMFG	Sumitomo Mitsui Financial Group	Banks	49.73B
SMFR	Sema4 Holdings	Health Information Services	2.12B
SMG	Scotts Miracle-Gro	Chemicals	8.46B
SMHI	Seacor Marine Holdings	Energy Equipment & Services	104.84M
SMID	Smith-Midland	Construction Materials	88.38M
SMIH	Summit Healthcare Acquisition	Shell Companies	246.99M
SMIT	Schmitt Industries	Electronic Equipment, Instruments & C...	17.38M
SMLP	Summit Midstream Partners	Oil, Gas & Consumable Fuels	225.62M
SMMF	Summit Financial Group	Banks	306.47M
SMMT	Summit Therapeutics	Biotechnology	632.98M
SMP	Standard Motor Products	Auto Components	939.49M
SMPL	Simply Good Foods	Food Products	3.37B
SMRT	SmartRent	Specialty Retail	3.59M
SMSI	Smith Micro Software	Software	250.06M
SMTC	Semtech	Semiconductors & Semiconductor Equipment	4.77B
SMTI	Sanara MedTech	Medical Care Facilities	258.85M
SMTS	Sierra Metals	Metals & Mining	341.51M
SMWB	Similarweb	Internet Content & Information	1.56B
SNA	Snap-on	Machinery	11.80B
SNAP	Snap, Inc.	Interactive Media & Services	117.79B
SNAX	Stryve Foods	Packaged Foods	60.69M
SNBR	Sleep Number	Specialty Retail	2.16B
SNCR	Synchronoss Technologies	Software	214.12M
SNCY	Sun Country Airlines Holdings	Airlines	1.72B
SND	Smart Sand	Energy Equipment & Services	100.45M
SNDL	Sundial Growers	Pharmaceuticals	1.49B
SNDR	Schneider National	Road & Rail	3.96B
SNDX	Syndax Pharmaceuticals	Biotechnology	889.89M
SNES	SenesTech	Pharmaceuticals	20.36M
SNEX	StoneX Group	Capital Markets	1.31B
SNFCA	Security National Financial	Thrifts & Mortgage Finance	169.07M
SNGX	Soligenix	Biotechnology	46.52M
SNII	Supernova Partners Acquisition II	Shell Companies	420.04M
SNMP	Sanchez Midstream Partners	Oil, Gas & Consumable Fuels	75.97M
SNN	Smith & Nephew	Health Care Equipment & Supplies	16.35B
SNOA	Sonoma Pharmaceuticals	Pharmaceuticals	15.01M
SNOW	Snowflake	IT Services	95.85B
SNP	China Petroleum & Chemical	Oil, Gas & Consumable Fuels	79.84B
SNPO	Snap One Holdings	Electronics & Computer Distribution	1.54B
SNPS	Synopsys	Software	50.71B
SNPX	Synaptogenix	Biotechnology	41.60M
SNR	New Senior Investment Group	Equity Real Estate Investment Trusts...	735.55M
SNRH	Senior Connect Acquisition I	Shell Companies	503.53M
SNSE	Sensei Biotherapeutics	Biotechnology	336.47M
SNTG	Sentage Holdings	Credit Services	54.46M
SNV	Synovus Financial	Banks	5.89B
SNX	Synnex	Electronic Equipment, Instruments & C...	11.37B
SNY	Sanofi	Pharmaceuticals	121.52B
SO	Southern Company	Electric Utilities	70.11B
SOFI	SoFi Technologies	Credit Services	12.23B
SOGO	Sogou Inc.	Interactive Media & Services	3.39B
SOHO	Sotherly Hotels	Equity Real Estate Investment Trusts...	41.46M
SOHU	Sohu.com	Interactive Media & Services	896.97M
SOI	Solaris Oilfield Infrastructure	Energy Equipment & Services	333.48M
SOL	ReneSola	Construction & Engineering	496.61M
SOLO	Electrameccanica Vehicles	Automobiles	376.42M
SOLY	Soliton	Health Care Equipment & Supplies	457.41M
SON	Sonoco Products	Containers & Packaging	6.18B
SONM	Sonim Technologies	Technology Hardware, Storage & Periph...	52.12M
SONN	Sonnet BioTherapeutics	Biotechnology	36.63M
SONO	Sonos, Inc.	Household Durables	4.65B
SONY	Sony Group	Household Durables	138.16B
SOPH	SOPHiA GENETICS	Health Information Services	1.06B
SOS	SOS Limited	Software-Infrastructure	523.95M
SOTK	Sono-Tek Corporation	Electronic Equipment, Instruments & C...	53.34M
SP	SP Plus	Commercial Services & Supplies	724.43M
SPAQ	Spartan Acquisition III	Shell Companies	681.03M
SPB	Spectrum Brands Holdings	Household Products	3.93B
SPCB	SuperCom	Electronic Equipment, Instruments & C...	22.20M
SPCE	Virgin Galactic	Aerospace & Defense	6.47B
SPFI	South Plains Financial	Banks	407.74M
SPFR	Jaws Spitfire Acquisition	Shell Companies	430.82M
SPG	Simon Property Group	Equity Real Estate Investment Trusts...	42.03B
SPGI	S&P Global	Capital Markets	108.51B
SPGS	Simon Property Group Acquisition	Shell Companies	419.61M
SPH	Suburban Propane Partners	Gas Utilities	950.57M
SPI	SPI Energy	Semiconductors & Semiconductor Equipment	129.82M
SPIR	Spire Global	Semiconductors & Semiconductor Equipment	1.45B
SPK	SPK Acquisition	Shell Companies	69.23M
SPKB	Silver Spike Acquisition II	Shell Companies	348.59M
SPLK	Splunk	Software	24.85B
SPLP	Steel Partners Holdings	Industrial Conglomerates	614.63M
SPNE	SeaSpine Holdings	Health Care Equipment & Supplies	589.29M
SPNS	Sapiens International	Software	1.55B
SPNT	SiriusPoint	Insurance-Reinsurance	1.44B
SPOK	Spok Holdings	Wireless Telecommunication Services	194.67M
SPOT	Spotify Technology	Entertainment	47.41B
SPPI	Spectrum Pharmaceuticals	Biotechnology	362.60M
SPR	Spirit AeroSystems	Aerospace & Defense	4.02B
SPRB	Spruce Biosciences	Biotechnology	182.58M
SPRO	Spero Therapeutics	Biotechnology	588.93M
SPRT	Support.com, Inc.	Software	509.00M
SPSC	SPS Commerce	Software	4.96B
SPT	Sprout Social	Software	6.91B
SPTK	SportsTek Acquisition	Shell Companies	208.94M
SPTN	SpartanNash	Food & Staples Retailing	754.70M
SPWH	Sportsman's Warehouse	Specialty Retail	775.66M
SPWR	SunPower	Semiconductors & Semiconductor Equipment	3.67B
SPXC	SPX Corporation	Machinery	2.63B
SQ	Square	IT Services	113.96B
SQBGQ	Sequential Brands Group	Textiles, Apparel & Luxury Goods	10.34M
SQFT	Presidio Property Trust	REIT-Diversified	40.35M
SQL	SeqLL	Diagnostics & Research	45.74M
SQM	Sociedad Quimica y Minera de Chile	Chemicals	15.93B
SQNS	Sequans Communications	Semiconductors & Semiconductor Equipment	181.24M
SQSP	Squarespace	Software-Infrastructure	6.46B
SQZ	SQZ Biotechnologies	Biotechnology	385.65M
SR	Spire	Gas Utilities	3.28B
SRAX	SRAX, Inc.	Media	137.20M
SRC	Spirit Realty Capital	Equity Real Estate Investment Trusts...	5.89B
SRCE	1st Source	Banks	1.14B
SRCL	Stericycle	Commercial Services & Supplies	6.51B
SRDX	SurModics	Health Care Equipment & Supplies	787.24M
SRE	Sempra Energy	Multi-Utilities	42.31B
SREV	ServiceSource International	IT Services	140.94M
SRG	Seritage Growth Properties	Equity Real Estate Investment Trusts...	641.82M
SRGA	Surgalign Holdings	Medical Devices	196.57M
SRI	Stoneridge	Auto Components	549.79M
SRL	Scully Royalty	Capital Markets	168.60M
SRLP	Sprague Resources	Oil, Gas & Consumable Fuels	465.52M
SRNE	Sorrento Therapeutics	Biotechnology	2.36B
SRNG	Soaring Eagle Acquisition	Shell Companies	2.12B
SRPT	Sarepta Therapeutics	Biotechnology	6.43B
SRRA	Sierra Oncology	Biotechnology	249.96M
SRRK	Scholar Rock Holding	Biotechnology	1.30B
SRSA	Sarissa Capital Acquisition	Shell Companies	244.50M
SRT	Startek	IT Services	213.79M
SRTS	Sensus Healthcare	Health Care Equipment & Supplies	59.15M
SRZN	Surrozen	Biotechnology	353.48M
SSAA	Science Strategic Acquisition Alpha	Shell Companies	378.03M
SSB	South State Corporation	Banks	4.66B
SSBI	Summit State Bank	Banks	98.85M
SSBK	Southern States Bancshares	Banks-Regional	171.64M
SSD	Simpson Manufacturing	Building Products	4.70B
SSKN	STRATA Skin Sciences	Health Care Equipment & Supplies	59.70M
SSL	Sasol	Chemicals	9.84B
SSNC	SS&C Technologies	Software	18.34B
SSNT	SilverSun Technologies	Software	34.10M
SSP	E.W. Scripps	Media	1.34B
SSRM	SSR Mining	Metals & Mining	3.30B
SSSS	SuRo Capital	Capital Markets	338.06M
SSTI	ShotSpotter	Software	419.83M
SSTK	Shutterstock	Internet & Direct Marketing Retail	4.11B
SSY	SunLink Health Systems	Health Care Providers & Services	17.65M
SSYS	Stratasys	Technology Hardware, Storage & Periph...	1.53B
ST	Sensata Technologies Holding	Electrical Equipment	8.88B
STAA	STAAR Surgical	Health Care Equipment & Supplies	6.97B
STAB	Statera Biopharma	Biotechnology	107.66M
STAF	Staffing 360 Solutions	Professional Services	30.11M
STAG	Stag Industrial	Equity Real Estate Investment Trusts...	6.74B
STAR	iStar Inc.	Equity Real Estate Investment Trusts...	1.85B
STBA	S&T Bancorp	Banks	1.09B
STC	Stewart Information Services	Insurance	1.66B
STCN	Steel Connect	IT Services	122.72M
STE	Steris	Health Care Equipment & Supplies	21.26B
STEM	Stem	Software-Infrastructure	2.94B
STEP	StepStone Group	Asset Management	1.86B
STFC	State Auto Financial	Insurance	2.26B
STG	Sunlands Technology Group	Diversified Consumer Services	82.63M
STGW	Stagwell	Advertising Agencies	2.12B
STIM	Neuronetics	Health Care Equipment & Supplies	180.02M
STKL	SunOpta	Food Products	1.03B
STKS	ONE Group Hospitality	Hotels, Restaurants & Leisure	323.76M
STL	Sterling Bancorp	Banks	4.29B
STLA	Stellantis	Automobiles	61.47B
STLD	Steel Dynamics	Metals & Mining	13.43B
STM	STMicroelectronics	Semiconductors & Semiconductor Equipment	41.07B
STMP	Stamps.com	Internet & Direct Marketing Retail	6.10B
STN	Stantec	Professional Services	5.52B
STNE	StoneCo	IT Services	13.40B
STNG	Scorpio Tankers	Oil, Gas & Consumable Fuels	939.75M
STOK	Stoke Therapeutics	Biotechnology	895.94M
STON	StoneMor	Diversified Consumer Services	295.03M
STOR	STORE Capital	Equity Real Estate Investment Trusts...	9.26B
STPC	Star Peak II	Shell Companies	502.12M
STRA	Strategic Education	Diversified Consumer Services	1.86B
STRE	Supernova Partners Acquisition III	Shell Companies	303.75M
STRL	Sterling Construction Company	Construction & Engineering	628.50M
STRM	Streamline Health Solutions	Health Care Technology	85.31M
STRO	Sutro Biopharma	Biotechnology	917.41M
STRR	Star Equity Holdings	Diagnostics & Research	14.00M
STRS	Stratus Properties	Real Estate Management & Development	247.86M
STRT	STRATTEC Security	Auto Components	147.74M
STSA	Satsuma Pharmaceuticals	Pharmaceuticals	154.81M
STT	State Street	Capital Markets	30.08B
STTK	Shattuck Labs	Biotechnology	844.14M
STVN	Stevanato Group	Medical Instruments & Supplies	7.76B
STWD	Starwood Property Trust	Mortgage Real Estate Investment Trus...	7.06B
STWO	ACON S2 Acquisition	Shell Companies	310.78M
STX	Seagate Technology	Technology Hardware, Storage & Periph...	18.96B
STXB	Spirit of Texas Bancshares	Banks	403.99M
STXS	Stereotaxis	Health Care Equipment & Supplies	435.12M
STZ	Constellation Brands	Beverages	41.16B
SU	Suncor Energy	Oil, Gas & Consumable Fuels	27.14B
SUI	Sun Communities	Equity Real Estate Investment Trusts...	23.15B
SUM	Summit Materials	Construction Materials	3.77B
SUMO	Sumo Logic	Software	2.01B
SUMR	Summer Infant	Leisure Products	17.40M
SUN	Sunoco	Oil, Gas & Consumable Fuels	3.69B
SUNL	Sunlight Financial	Credit Services	230.05M
SUNS	Solar Senior Capital	Capital Markets	248.44M
SUNW	Sunworks	Electrical Equipment	183.11M
SUP	Superior Industries International	Auto Components	187.19M
SUPN	Supernus Pharmaceuticals	Pharmaceuticals	1.41B
SUPV	Grupo Supervielle	Banks	423.97M
SURF	Surface Oncology	Biotechnology	277.71M
SUZ	Suzano	Paper & Forest Products	15.74B
SV	Spring Valley Acquisition	Shell Companies	262.20M
SVBI	Severn Bancorp	Thrifts & Mortgage Finance	158.36M
SVC	Service Properties Trust	Equity Real Estate Investment Trusts...	1.75B
SVFA	SVF Investment	Shell Companies	735.07M
SVFB	SVF Investment 2	Shell Companies	290.38M
SVFC	SVF Investment 3	Shell Companies	403.83M
SVFD	Save Foods	Agricultural Inputs	23.17M
SVM	Silvercorp Metals	Metals & Mining	736.60M
SVOK	Seven Oaks Acquisition	Shell Companies	320.20M
SVRA	Savara	Biotechnology	165.08M
SVT	Servotronics	Electrical Equipment	27.68M
SVVC	Firsthand Technology Value Fund	Securities and Commodity Exchanges	24.26M
SWAV	ShockWave Medical	Health Care Equipment & Supplies	7.65B
SWBI	Smith & Wesson Brands	Leisure Products	1.02B
SWBK	Switchback II	Shell Companies	393.73M
SWCH	Switch, Inc.	IT Services	6.30B
SWET	Athlon Acquisition	Shell Companies	334.30M
SWI	SolarWinds	Software	2.66B
SWIM	Latham Group	Building Products & Equipment	2.19B
SWIR	Sierra Wireless	Communications Equipment	591.95M
SWK	Stanley Black & Decker	Machinery	30.38B
SWKH	SWK Holdings	Diversified Financial Services	248.16M
SWKS	Skyworks Solutions	Semiconductors & Semiconductor Equipment	29.29B
SWM	Schweitzer-Mauduit International	Paper & Forest Products	1.10B
SWN	Southwestern Energy	Oil, Gas & Consumable Fuels	3.40B
SWTX	Springworks Therapeutics	Biotechnology	3.36B
SWX	Southwest Gas Holdings	Gas Utilities	4.06B
SXC	SunCoke Energy	Metals & Mining	584.57M
SXI	Standex International	Machinery	1.15B
SXT	Sensient Technologies	Chemicals	3.84B
SXTC	China SXT Pharmaceuticals	Personal Products	17.23M
SY	So-Young International	Interactive Media & Services	571.43M
SYBT	Stock Yards Bancorp	Banks	1.41B
SYBX	Synlogic	Biotechnology	165.50M
SYF	Synchrony Financial	Consumer Finance	26.96B
SYK	Stryker	Health Care Equipment & Supplies	103.27B
SYN	Synthetic Biologics	Biotechnology	67.59M
SYNA	Synaptics	Semiconductors & Semiconductor Equipment	7.12B
SYNH	Syneos Health	Life Sciences Tools & Services	9.76B
SYNL	Synalloy	Metals & Mining	106.13M
SYPR	Sypris Solutions	Auto Components	79.68M
SYRS	Syros Pharmaceuticals	Biotechnology	313.99M
SYTA	Siyata Mobile	Communications Equipment	19.22M
SYY	Sysco	Food & Staples Retailing	39.20B
T	AT&T	Diversified Telecommunication Services	194.07B
TA	TravelCenters of America	Specialty Retail	612.67M
TAC	TransAlta	Independent Power and Renewable Elect...	2.70B
TACA	Trepont Acquisition I	Shell Companies	285.20M
TACO	Del Taco Restaurants	Hotels, Restaurants & Leisure	309.34M
TACT	TransAct Technologies	Technology Hardware, Storage & Periph...	131.68M
TAIT	Taitron Components	Electronic Equipment, Instruments & C...	24.65M
TAK	Takeda Pharmaceutical	Pharmaceuticals	53.73B
TAL	TAL Education Group	Diversified Consumer Services	3.20B
TALK	Talkspace	Medical Care Facilities	761.28M
TALO	Talos Energy	Oil, Gas & Consumable Fuels	1.02B
TALS	Talaris Therapeutics	Biotechnology	549.05M
TANH	Tantech Holdings	Chemicals	30.10M
TAOP	Taoping	IT Services	41.49M
TAP	Molson Coors	Beverages	9.94B
TARA	ArTara Therapeutics	Biotechnology	86.29M
TARO	Taro Pharmaceutical Industries	Pharmaceuticals	2.64B
TARS	Tarsus Pharmaceuticals	Biotechnology	458.80M
TASK	TaskUs	Information Technology Services	6.63B
TAST	Carrols Restaurant Group	Hotels, Restaurants & Leisure	198.94M
TATT	TAT Technologies	Aerospace & Defense	50.85M
TAYD	Taylor Devices	Machinery	39.68M
TBBK	The Bancorp, Inc.	Banks	1.35B
TBCP	Thunder Bridge Capital Partners III	Shell Companies	511.18M
TBI	TrueBlue	Professional Services	956.46M
TBIO	Translate Bio	Biotechnology	2.83B
TBK	Triumph Bancorp	Banks	2.06B
TBLA	Taboola	Internet Content & Information	1.88B
TBLD	Thornburg Income Builder Opportunities Trust	n/a	351.58M
TBLT	Toughbuilt Industries	Textiles, Apparel & Luxury Goods	73.73M
TBNK	Territorial Bancorp	Thrifts & Mortgage Finance	236.80M
TBPH	Theravance Biopharma	Pharmaceuticals	621.56M
TBSA	TB SA Acquisition	Shell Companies	253.05M
TC	TuanChe	Internet Content & Information	41.09M
TCAC	Tuatara Capital Acquisition	Shell Companies	242.00M
TCBC	TC Bancshares	Banks-Regional	62.80M
TCBI	Texas Capital Bancshares	Banks	2.86B
TCBK	TriCo Bancshares	Banks	1.19B
TCBS	Texas Community Bancshares	Banks-Regional	53.98M
TCDA	Tricida	Pharmaceuticals	216.34M
TCFC	Community Financial Corporation	Banks	195.98M
TCI	Transcontinental Realty Investors	Real Estate Management & Development	300.13M
TCMD	Tactile Systems Technology	Health Care Equipment & Supplies	839.76M
TCOM	Trip.com Group	Internet & Direct Marketing Retail	20.54B
TCON	TRACON Pharmaceuticals	Biotechnology	75.20M
TCPC	Blackrock TCP Capital	Capital Markets	815.10M
TCRR	TCR2 Therapeutics	Biotechnology	690.97M
TCRX	TScan Therapeutics	Biotechnology	196.53M
TCS	Container Store Group	Specialty Retail	562.37M
TCVA	TCV Acquisition	Shell Companies	442.13M
TCX	Tucows	IT Services	805.08M
TD	Toronto-Dominion Bank	Banks	118.06B
TDAC	Trident Acquisitions	Shell Companies	142.53M
TDC	Teradata	Software	5.58B
TDG	TransDigm Group	Aerospace & Defense	32.91B
TDOC	Teladoc Health	Health Care Technology	22.62B
TDS	Telephone & Data Systems	Wireless Telecommunication Services	2.26B
TDUP	ThredUp	Internet Retail	1.78B
TDW	Tidewater	Energy Equipment & Services	458.71M
TDY	Teledyne Technologies	Aerospace & Defense	20.17B
TEAM	Atlassian	Software	95.72B
TECH	Bio-Techne	Life Sciences Tools & Services	20.20B
TECK	Teck Resources	Metals & Mining	13.49B
TEDU	Tarena International	Diversified Consumer Services	83.47M
TEF	Telefonica	Diversified Telecommunication Services	27.34B
TEKK	Tekkorp Digital Acquisition	Shell Companies	305.31M
TEL	TE Connectivity	Electronic Equipment, Instruments & C...	47.69B
TELA	TELA Bio	Health Care Equipment & Supplies	176.56M
TELL	Tellurian	Oil, Gas & Consumable Fuels	1.36B
TEN	Tenneco	Auto Components	1.07B
TENB	Tenable Holdings	Software	4.91B
TENX	Tenax Therapeutics	Biotechnology	35.79M
TEO	Telecom Argentina	Diversified Telecommunication Services	2.18B
TER	Teradyne	Semiconductors & Semiconductor Equipment	19.96B
TERN	Terns Pharmaceuticals	Biotechnology	279.45M
TESS	TESSCO Technologies	Communications Equipment	48.48M
TETC	Tech & Energy Transition	Shell Companies	469.71M
TEVA	Teva Pharmaceutical	Pharmaceuticals	10.34B
TEX	Terex	Machinery	3.23B
TFC	Truist Financial	Banks	73.68B
TFFP	TFF Pharmaceuticals	Pharmaceuticals	211.09M
TFII	TFI International	Road & Rail	10.55B
TFSL	TFS Financial	Thrifts & Mortgage Finance	5.21B
TFX	Teleflex	Health Care Equipment & Supplies	17.43B
TG	Tredegar	Chemicals	423.28M
TGA	TransGlobe Energy	Oil, Gas & Consumable Fuels	132.75M
TGB	Taseko Mines	Metals & Mining	684.13M
TGH	Textainer Group Holdings	Trading Companies & Distributors	1.63B
TGI	Triumph Group	Aerospace & Defense	1.12B
TGLS	Tecnoglass	Construction Materials	1.04B
TGNA	Tegna	Media	3.67B
TGP	Teekay LNG Partners	Oil, Gas & Consumable Fuels	1.44B
TGS	Transportadora de Gas del Sur	Oil, Gas & Consumable Fuels	752.76M
TGT	Target	Multiline Retail	119.35B
TGTX	TG Therapeutics	Biotechnology	4.25B
TH	Target Hospitality	Hotels, Restaurants & Leisure	393.06M
THC	Tenet Healthcare	Health Care Providers & Services	7.78B
THCA	Tuscan Holdings Corp. II	Shell Companies	195.45M
THFF	First Financial Corporation	Banks	517.36M
THG	Hanover Insurance Group	Insurance	4.82B
THM	International Tower Hill Mines	Metals & Mining	204.65M
THMA	Thimble Point Acquisition	Shell Companies	342.24M
THMO	ThermoGenesis Holdings	Health Care Equipment & Supplies	28.47M
THO	Thor Industries	Automobiles	6.23B
THR	Thermon Group Holdings	Electrical Equipment	529.64M
THRM	Gentherm	Auto Components	2.69B
THRY	Thryv Holdings	Media	997.67M
THS	TreeHouse Foods	Food Products	2.17B
THTX	Theratechnologies	Biotechnology	353.20M
TIG	Trean Insurance Group	Biotechnology	524.53M
TIGO	Millicom International Cellular	Wireless Telecommunication Services	3.74B
TIGR	UP Fintech Holding	Capital Markets	2.36B
TIL	Instil Bio	Biotechnology	2.40B
TILE	Interface	Commercial Services & Supplies	839.76M
TIMB	TIM S.A.	Telecom Services	5.60B
TINV	Tiga Acquisition	Shell Companies	348.72M
TIOA	Tio Tech A	Shell Companies	363.38M
TIPT	Tiptree	Insurance	335.07M
TIRX	Tian Ruixiang Holdings	Insurance Brokers	54.20M
TISI	Team, Inc.	Commercial Services & Supplies	121.44M
TITN	Titan Machinery	Trading Companies & Distributors	598.78M
TIXT	TELUS International	Software-Infrastructure	9.50B
TJX	TJX Companies	Specialty Retail	82.82B
TK	Teekay Corporation	Oil, Gas & Consumable Fuels	345.88M
TKAT	Takung Art	Interactive Media & Services	111.47M
TKC	Turkcell	Wireless Telecommunication Services	4.11B
TKNO	Alpha Teknova	Drug Manufacturers-Specialty & Generic	639.51M
TKR	Timken	Machinery	5.37B
TLC	Taiwan Liposome	Biotechnology	308.01M
TLGA	TLG Acquisition One	Shell Companies	486.00M
TLGT	Teligent	Pharmaceuticals	41.90M
TLIS	Talis Biomedical	Medical Devices	197.82M
TLK	Telkom Indonesia	Diversified Telecommunication Services	23.12B
TLMD	SOC Telemed	Medical Care Facilities	289.33M
TLRY	Tilray	Pharmaceuticals	5.57B
TLS	Telos	Software	2.24B
TLSA	Tiziana Life Sciences	Biotechnology	184.88M
TLYS	Tilly's	Specialty Retail	446.09M
TM	Toyota Motor	Automobiles	251.60B
TMAC	Music Acquisition	Shell Companies	278.30M
TMBR	Timber Pharmaceuticals	Biotechnology	34.09M
TMC	TMC the metals company	Shell Companies	398.25M
TMCI	Treace Medical Concepts	Medical Devices	1.44B
TMDI	Titan Medical	Health Care Equipment & Supplies	174.27M
TMDX	TransMedics Group	Health Care Equipment & Supplies	878.47M
TME	Tencent Music Entertainment	Entertainment	14.64B
TMHC	Taylor Morrison Home	Household Durables	3.32B
TMKR	Tastemaker Acquisition	Shell Companies	336.72M
TMO	Thermo Fisher Scientific	Life Sciences Tools & Services	225.99B
TMP	Tompkins Financial	Banks	1.11B
TMPM	Turmeric Acquisition	Shell Companies	123.18M
TMQ	Trilogy Metals	Metals & Mining	364.01M
TMST	TimkenSteel	Metals & Mining	615.08M
TMTS	Spartacus Acquisition	Shell Companies	251.75M
TMUS	T-Mobile US	Wireless Telecommunication Services	163.25B
TMX	Terminix Global Holdings	Personal Services	5.67B
TNC	Tennant Company	Machinery	1.39B
TNDM	Tandem Diabetes Care	Health Care Equipment & Supplies	7.73B
TNET	TriNet Group	Professional Services	6.06B
TNGX	Tango Therapeutics	Biotechnology	1.36B
TNK	Teekay Tankers	Oil, Gas & Consumable Fuels	410.75M
TNL	Travel+Leisure	Hotels, Restaurants & Leisure	4.75B
TNP	Tsakos Energy Navigation	Oil, Gas & Consumable Fuels	144.84M
TNT	Peak Fintech Group	Software	747.17M
TNXP	Tonix Pharmaceuticals	Biotechnology	235.96M
TNYA	Tenaya Therapeutics	Biotechnology	947.73M
TOL	Toll Brothers	Household Durables	7.46B
TOMZ	TOMI Environmental Solutions	Commercial Services & Supplies	40.52M
TOPS	Top Ships	Oil, Gas & Consumable Fuels	54.97M
TOUR	Tuniu Corporation	Hotels, Restaurants & Leisure	213.68M
TOWN	TowneBank	Banks	2.12B
TPB	Turning Point Brands	Tobacco	902.49M
TPC	Tutor Perini	Construction & Engineering	688.45M
TPGS	TPG Pace Solutions	Shell Companies	338.63M
TPGY	TPG Pace Beneficial Finance	Shell Companies	505.75M
TPH	TRI Pointe Group	Household Durables	2.44B
TPHS	Trinity Place Holdings	Real Estate Management & Development	64.29M
TPIC	TPI Composites	Electrical Equipment	1.31B
TPL	Texas Pacific Land Trust	Oil, Gas & Consumable Fuels	9.47B
TPR	Tapestry	Textiles, Apparel & Luxury Goods	11.31B
TPST	Tempest Therapeutics	Biotechnology	98.00M
TPTX	Turning Point Therapeutics	Biotechnology	3.89B
TPVG	TriplePoint Venture Growth BDC	Capital Markets	464.87M
TPX	Tempur Sealy International	Household Durables	9.28B
TR	Tootsie Roll Industries	Food Products	2.08B
TRC	Tejon Ranch	Real Estate Management & Development	489.10M
TRCA	Twin Ridge Capital Acquisition	Shell Companies	58.14M
TREB	Trebia Acquisition	Shell Companies	642.35M
TREC	Trecora Resources	Chemicals	213.94M
TREE	LendingTree	Thrifts & Mortgage Finance	2.07B
TREX	Trex Company	Building Products	12.93B
TRGP	Targa Resources	Oil, Gas & Consumable Fuels	9.94B
TRHC	Tabula Rasa HealthCare	Health Care Technology	720.41M
TRI	Thomson Reuters	Professional Services	58.86B
TRIB	Trinity Biotech	Health Care Equipment & Supplies	55.81M
TRIL	Trillium Therapeutics	Biotechnology	1.81B
TRIN	Trinity Capital	Asset Management	422.75M
TRIP	TripAdvisor	Interactive Media & Services	4.75B
TRIT	Triterras Fintech	Information Technology Services	420.97M
TRKA	Troika Media Group	Advertising Agencies	63.28M
TRMB	Trimble	Electronic Equipment, Instruments & C...	23.62B
TRMD	Torm PLC	Oil & Gas Midstream	644.91M
TRMK	Trustmark	Banks	1.87B
TRMR	Tremor International	Advertising Agencies	1.61B
TRMT	Tremont Mortgage Trust	Mortgage Real Estate Investment Trus...	47.30M
TRN	Trinity Industries	Machinery	2.82B
TRNO	Terreno Realty	Equity Real Estate Investment Trusts...	4.65B
TRNS	Transcat	Trading Companies & Distributors	482.26M
TRON	Corner Growth Acquisition 2	Shell Companies	216.27M
TROW	T. Rowe Price Group	Capital Markets	49.15B
TROX	Tronox Holdings	Chemicals	3.16B
TRP	TC Energy	Oil, Gas & Consumable Fuels	47.21B
TRQ	Turquoise Hill Resources	Metals & Mining	3.03B
TRS	TriMas Corporation	Machinery	1.27B
TRST	TrustCo Bank Corp NY	Thrifts & Mortgage Finance	608.19M
TRT	Trio-Tech International	Semiconductors & Semiconductor Equipment	17.45M
TRTN	Triton International	Trading Companies & Distributors	3.50B
TRTX	TPG RE Finance Trust	Mortgage Real Estate Investment Trus...	917.62M
TRU	TransUnion	Professional Services	23.60B
TRUE	TrueCar	Interactive Media & Services	405.83M
TRUP	Trupanion	Insurance	3.60B
TRV	Travelers	Insurance	39.01B
TRVG	Trivago	Interactive Media & Services	912.45M
TRVI	Trevi Therapeutics	Pharmaceuticals	32.83M
TRVN	Trevena	Biotechnology	205.64M
TRX	Tanzanian Gold	Metals & Mining	114.95M
TS	Tenaris	Energy Equipment & Services	11.59B
TSBK	Timberland Bancorp	Thrifts & Mortgage Finance	236.50M
TSC	TriState Capital Holdings	Banks	631.64M
TSCO	Tractor Supply	Specialty Retail	23.42B
TSE	Trinseo	Chemicals	1.88B
TSEM	Tower Semiconductor	Semiconductors & Semiconductor Equipment	3.17B
TSHA	Taysha Gene Therapies	Biotechnology	778.19M
TSIB	Tishman Speyer Innovation II	Shell Companies	364.50M
TSLA	Tesla	Automobiles	737.57B
TSLX	TPG Specialty Lending	Capital Markets	1.64B
TSM	Taiwan Semiconductor	Semiconductors & Semiconductor Equipment	637.73B
TSN	Tyson Foods	Food Products	27.29B
TSP	TuSimple Holdings	Trucking	8.40B
TSPQ	TCW Special Purpose Acquisition	Shell Companies	561.07M
TSQ	Townsquare Media	Media	206.49M
TSRI	TSR, Inc.	IT Services	21.19M
TT	Trane Technologies	Building Products	45.16B
TTC	Toro Company	Machinery	11.41B
TTCF	Tattooed Chef	Packaged Foods	1.69B
TTD	The Trade Desk	Software	34.84B
TTE	TotalEnergies	Oil, Gas & Consumable Fuels	128.08B
TTEC	TTEC Holdings	IT Services	4.78B
TTEK	Tetra Tech	Commercial Services & Supplies	7.98B
TTGT	TechTarget	Media	2.39B
TTI	TETRA Technologies	Energy Equipment & Services	376.02M
TTM	Tata Motors	Automobiles	15.54B
TTMI	TTM Technologies	Electronic Equipment, Instruments & C...	1.46B
TTNP	Titan Pharmaceuticals	Pharmaceuticals	21.11M
TTOO	T2 Biosystems	Biotechnology	177.46M
